id;nom;categorie_gmb;type_principal;rue;code_postal;ville;telephone;latitude;longitude;note;avis;site_web;lien_google;attributs;horaires;exemple
demo-001;Boulangerie du Croux;Boulangerie;bakery;14 rue du Croux;58000;Nevers;+33386211457;46.99012;3.15340;4,6;213;;https://maps.google.com/?cid=demo001;Entrée accessible en fauteuil roulant|Paiement sans contact;lun:ferme|mar:07:00-13:00,15:30-19:00|mer:07:00-13:00,15:30-19:00|jeu:07:00-13:00,15:30-19:00|ven:07:00-13:00,15:30-19:30|sam:07:00-19:00|dim:07:30-12:30;1
demo-002;Garage Loire Automobiles;Garage automobile;car_repair;27 route de Marzy;58000;Nevers;+33386573082;46.98640;3.13920;4,3;87;;https://maps.google.com/?cid=demo002;Parking accessible en fauteuil roulant;lun:08:00-12:00,14:00-18:00|mar:08:00-12:00,14:00-18:00|mer:08:00-12:00,14:00-18:00|jeu:08:00-12:00,14:00-18:00|ven:08:00-12:00,14:00-17:00|sam:ferme|dim:ferme;1
demo-003;Le Comptoir des Halles;Restaurant;restaurant;3 place Carnot;58000;Nevers;+33386366214;46.98905;3.15721;4,5;341;;https://maps.google.com/?cid=demo003;Terrasse|Paiement sans contact;lun:12:00-14:00|mar:12:00-14:00,19:00-22:00|mer:12:00-14:00,19:00-22:00|jeu:12:00-14:00,19:00-22:00|ven:12:00-14:00,19:00-22:30|sam:19:00-22:30|dim:ferme;1
demo-004;Coiffure Séverine;Salon de coiffure;hair_salon;8 avenue du Général de Gaulle;58000;Nevers;+33386591102;46.99230;3.16045;4,8;64;;https://maps.google.com/?cid=demo004;Entrée accessible en fauteuil roulant;lun:ferme|mar:09:00-18:00|mer:09:00-18:00|jeu:09:00-19:00|ven:09:00-19:00|sam:08:30-17:00|dim:ferme;1
demo-005;Plomberie Berthier;Plombier;plumber;42 rue de Nièvre;58000;Nevers;+33386615530;46.99560;3.14880;4,7;39;;https://maps.google.com/?cid=demo005;;lun:08:00-18:00|mar:08:00-18:00|mer:08:00-18:00|jeu:08:00-18:00|ven:08:00-17:00|sam:ferme|dim:ferme;1
demo-006;Élec 58 Installations;Électricien;electrician;11 rue des Ardilliers;58000;Nevers;+33386368891;46.98410;3.16630;4,4;28;;https://maps.google.com/?cid=demo006;;lun:07:30-17:30|mar:07:30-17:30|mer:07:30-17:30|jeu:07:30-17:30|ven:07:30-16:30|sam:ferme|dim:ferme;1
demo-007;Pharmacie du Banlay;Pharmacie;pharmacy;60 avenue du Banlay;58000;Nevers;+33386571920;47.00120;3.15080;4,2;96;;https://maps.google.com/?cid=demo007;Entrée accessible en fauteuil roulant|Toilettes accessibles en fauteuil roulant;lun:09:00-12:30,14:00-19:30|mar:09:00-12:30,14:00-19:30|mer:09:00-12:30,14:00-19:30|jeu:09:00-12:30,14:00-19:30|ven:09:00-12:30,14:00-19:30|sam:09:00-12:30|dim:ferme;1
demo-008;Menuiserie Charnay;Menuisier;carpenter;5 rue de la Fonderie;58640;Varennes-Vauzelles;+33386385577;47.02240;3.13710;4,9;22;;https://maps.google.com/?cid=demo008;;lun:08:00-12:00,13:30-17:30|mar:08:00-12:00,13:30-17:30|mer:08:00-12:00,13:30-17:30|jeu:08:00-12:00,13:30-17:30|ven:08:00-12:00,13:30-16:30|sam:ferme|dim:ferme;1
demo-009;Vétérinaire des Bords de Loire;Vétérinaire;veterinary_care;19 quai de Mantoue;58000;Nevers;+33386593344;46.98730;3.15990;4,5;154;;https://maps.google.com/?cid=demo009;Parking accessible en fauteuil roulant;lun:09:00-12:00,14:00-19:00|mar:09:00-12:00,14:00-19:00|mer:09:00-12:00,14:00-19:00|jeu:09:00-12:00,14:00-19:00|ven:09:00-12:00,14:00-19:00|sam:09:00-12:00|dim:ferme;1
demo-010;Jardins de la Nièvre;Paysagiste;landscaper;3 chemin des Saulaies;58600;Fourchambault;+33386608812;47.01480;3.08260;4,6;41;;https://maps.google.com/?cid=demo010;;lun:08:00-18:00|mar:08:00-18:00|mer:08:00-18:00|jeu:08:00-18:00|ven:08:00-18:00|sam:ferme|dim:ferme;1
